Formatted Date,Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2006-04-12 08:00:00.000 +0200,Breezy and Mostly Cloudy,rain,6.144444444444448,0.93,30.863700000000005,349.0,10.5455,1004.1
2006-04-12 09:00:00.000 +0200,Breezy and Mostly Cloudy,rain,7.133333333333336,0.8,32.1678,349.0,11.2056,1004.26
2006-08-21 00:00:00.000 +0200,Breezy and Partly Cloudy,rain,21.96666666666667,0.72,30.8315,310.0,15.826300000000002,1015.64
2006-08-31 10:00:00.000 +0200,Breezy and Overcast,rain,15.944444444444445,0.68,33.9066,289.0,11.27,1016.52
2006-08-31 15:00:00.000 +0200,Breezy and Overcast,rain,15.138888888888893,0.82,30.525600000000004,299.0,11.27,1017.35
2006-08-31 16:00:00.000 +0200,Breezy and Mostly Cloudy,rain,16.161111111111108,0.77,36.385999999999996,309.0,11.27,1017.18
2006-08-04 14:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.89444444444445,0.82,8.8711,342.0,11.3183,1005.05
2006-12-18 23:00:00.000 +0100,Breezy and Overcast,rain,3.2888888888888896,0.83,30.412900000000004,18.0,9.982,1023.83
2006-01-19 09:00:00.000 +0100,Breezy and Overcast,snow,-1.1111111111111112,0.81,29.463000000000005,321.0,7.969500000000001,1016.64
2006-01-22 17:00:00.000 +0100,Breezy and Mostly Cloudy,snow,-5.9833333333333325,0.69,33.2304,31.0,11.27,1026.95
2006-01-22 18:00:00.000 +0100,Breezy and Overcast,snow,-7.044444444444442,0.74,30.3968,31.0,11.2056,1027.58
2006-01-22 19:00:00.000 +0100,Breezy and Mostly Cloudy,snow,-6.966666666666666,0.74,33.48800000000001,29.0,11.0285,1027.78
2006-01-22 22:00:00.000 +0100,Breezy and Overcast,snow,-9.716666666666667,0.66,32.6025,12.0,14.9569,1030.15
2006-01-23 00:00:00.000 +0100,Breezy and Overcast,snow,-11.533333333333333,0.65,31.5721,12.0,15.8746,1031.31
2006-07-01 12:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.09444444444445,0.86,12.1072,242.0,11.27,1017.99
2006-07-01 14:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.26666666666668,0.83,7.6636,243.0,11.4471,1018.06
2006-07-02 15:00:00.000 +0200,Humid and Partly Cloudy,rain,22.66111111111111,0.84,15.520400000000002,1.0,11.125100000000002,1017.99
2006-07-02 16:00:00.000 +0200,Humid and Partly Cloudy,rain,21.227777777777774,0.86,13.9426,66.0,11.27,1017.79
2006-07-02 17:00:00.000 +0200,Humid and Mostly Cloudy,rain,21.19444444444445,0.86,11.253900000000002,44.0,10.8997,1018.15
2006-07-02 19:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.05,0.87,5.0876,91.0,11.27,1018.81
2006-07-22 20:00:00.000 +0200,Breezy and Mostly Cloudy,rain,25.46666666666667,0.61,29.0122,119.0,11.0768,1016.26
2006-06-23 20:00:00.000 +0200,Breezy and Overcast,rain,18.933333333333326,0.87,32.8923,20.0,3.3488,1014.37
2006-06-29 16:00:00.000 +0200,Humid and Mostly Cloudy,rain,20.07222222222222,0.87,19.4005,61.0,11.125100000000002,1017.95
2006-06-30 18:00:00.000 +0200,Humid and Partly Cloudy,rain,21.38888888888889,0.85,15.536500000000002,337.0,11.27,1017.58
2006-03-12 01:00:00.000 +0100,Breezy and Overcast,rain,0.4944444444444448,0.74,36.273300000000006,20.0,14.2163,1011.77
2006-03-12 12:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.022222222222222,0.71,33.1016,10.0,11.27,1009.5
2006-03-12 13:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.0166666666666675,0.7,34.37350000000001,9.0,11.0768,1009.37
2006-03-12 14:00:00.000 +0100,Breezy and Mostly Cloudy,rain,5.955555555555555,0.66,36.9495,21.0,11.27,1009.3
2006-03-12 15:00:00.000 +0100,Breezy and Overcast,rain,4.938888888888889,0.75,36.1767,9.0,11.27,1009.59
2006-03-12 16:00:00.000 +0100,Breezy and Overcast,rain,4.988888888888886,0.65,34.486200000000004,8.0,10.948,1009.9
2006-03-12 18:00:00.000 +0100,Breezy and Overcast,rain,3.777777777777776,0.7,29.543500000000005,9.0,9.9015,1010.69
2006-03-12 20:00:00.000 +0100,Breezy and Overcast,rain,2.1555555555555572,0.72,33.6007,11.0,9.982,1012.47
2006-03-12 21:00:00.000 +0100,Breezy and Overcast,rain,1.5777777777777795,0.72,28.98,10.0,15.826300000000002,1012.51
2006-03-12 22:00:00.000 +0100,Breezy and Overcast,snow,-0.305555555555556,0.79,39.3323,18.0,6.8425,1012.72
2006-03-12 23:00:00.000 +0100,Windy and Overcast,rain,0.5111111111111121,0.66,45.530800000000006,20.0,11.9784,1012.71
2006-03-13 00:00:00.000 +0100,Windy and Overcast,rain,0.0277777777777762,0.72,42.6328,20.0,12.042800000000002,1012.8
2006-03-13 02:00:00.000 +0100,Breezy and Overcast,snow,-0.044444444444443496,0.72,39.4289,20.0,15.8746,1012.99
2006-03-13 03:00:00.000 +0100,Windy and Overcast,snow,-0.06666666666666722,0.69,44.8868,29.0,14.9569,1012.93
2006-03-13 04:00:00.000 +0100,Breezy and Overcast,snow,-1.5555555555555558,0.88,39.3645,19.0,4.186000000000001,1013.24
2006-03-13 05:00:00.000 +0100,Windy and Overcast,snow,-1.6444444444444448,0.87,42.4718,20.0,3.2844,1013.42
2006-03-13 07:00:00.000 +0100,Breezy and Foggy,snow,-2.1722222222222225,0.9,37.4808,18.0,1.4651,1014.15
2006-03-13 08:00:00.000 +0100,Breezy and Foggy,snow,-2.2000000000000006,0.89,38.0765,20.0,0.3542,1014.71
2006-03-13 09:00:00.000 +0100,Breezy and Foggy,snow,-2.177777777777779,0.96,36.62750000000001,20.0,0.3542,1015.0
2006-03-13 10:00:00.000 +0100,Breezy and Foggy,snow,-2.1055555555555547,0.96,34.66330000000001,10.0,0.9821,1015.45
2006-03-13 11:00:00.000 +0100,Breezy and Foggy,snow,-2.155555555555555,0.96,37.9316,20.0,0.6601,1015.48
2006-03-13 12:00:00.000 +0100,Breezy and Foggy,snow,-2.1055555555555547,0.96,34.7921,20.0,0.6440000000000001,1015.57
2006-03-13 16:00:00.000 +0100,Breezy and Foggy,snow,-1.0777777777777784,0.93,32.3449,18.0,2.0125,1015.85
2006-03-13 22:00:00.000 +0100,Breezy and Overcast,snow,-1.0722222222222222,0.89,29.028300000000005,18.0,5.8765,1017.82
2006-03-23 08:00:00.000 +0100,Breezy and Overcast,rain,5.094444444444445,0.85,32.7474,21.0,5.0393,1001.54
2006-03-23 14:00:00.000 +0100,Breezy and Overcast,rain,7.872222222222224,0.67,33.6168,20.0,10.0464,1004.59
2006-03-23 15:00:00.000 +0100,Breezy and Overcast,rain,7.8444444444444414,0.62,34.1642,20.0,10.0464,1005.27
2006-03-25 08:00:00.000 +0100,Breezy and Partly Cloudy,rain,3.866666666666666,0.7,29.398600000000005,160.0,9.982,1016.19
2006-03-28 12:00:00.000 +0200,Breezy and Overcast,rain,18.816666666666674,0.52,36.9817,210.0,11.27,1008.83
2006-03-28 13:00:00.000 +0200,Breezy and Overcast,rain,18.86111111111111,0.52,34.4057,220.0,11.27,1008.05
2006-03-28 14:00:00.000 +0200,Breezy and Overcast,rain,18.916666666666668,0.51,36.11230000000001,222.0,11.4471,1007.62
2006-03-29 11:00:00.000 +0200,Breezy and Partly Cloudy,rain,12.044444444444444,0.75,33.5524,261.0,11.4471,1004.76
2006-03-29 12:00:00.000 +0200,Breezy and Partly Cloudy,rain,11.916666666666668,0.67,34.51840000000001,261.0,11.27,1005.64
2006-03-29 13:00:00.000 +0200,Breezy and Mostly Cloudy,rain,8.861111111111112,0.72,37.8994,279.0,11.27,1006.05
2006-03-29 14:00:00.000 +0200,Breezy and Mostly Cloudy,rain,9.038888888888893,0.72,35.24290000000001,278.0,11.2056,1007.16
2006-03-29 15:00:00.000 +0200,Breezy and Mostly Cloudy,rain,7.883333333333333,0.76,36.4665,289.0,11.0446,1007.86
2006-03-29 16:00:00.000 +0200,Breezy and Partly Cloudy,rain,9.949999999999998,0.72,39.6865,279.0,11.0446,1008.18
2006-03-29 17:00:00.000 +0200,Windy and Partly Cloudy,rain,12.1,0.57,41.699,279.0,11.4471,1008.47
2006-03-29 18:00:00.000 +0200,Windy and Partly Cloudy,rain,11.083333333333336,0.62,43.63100000000001,280.0,11.27,1008.52
2006-03-29 19:00:00.000 +0200,Breezy and Partly Cloudy,rain,11.06111111111111,0.57,36.33770000000001,281.0,11.27,1009.42
2006-03-29 21:00:00.000 +0200,Breezy and Mostly Cloudy,rain,9.949999999999998,0.62,32.6669,281.0,10.0464,1011.34
2006-03-29 22:00:00.000 +0200,Breezy and Partly Cloudy,rain,9.883333333333333,0.62,31.02470000000001,290.0,15.826300000000002,1011.94
2006-03-04 05:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.1055555555555525,0.65,38.7044,190.0,9.982,1000.79
2006-03-04 06:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.133333333333336,0.71,34.22860000000001,191.0,9.982,1000.28
2006-03-04 07:00:00.000 +0100,Breezy and Mostly Cloudy,rain,6.0888888888888895,0.76,36.3216,189.0,10.3523,1000.04
2006-03-04 08:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.3388888888888895,0.7,34.51840000000001,191.0,11.2056,999.84
2006-03-04 09:00:00.000 +0100,Breezy and Mostly Cloudy,rain,8.91111111111111,0.66,37.1749,182.0,11.2056,999.67
2006-03-04 10:00:00.000 +0100,Breezy and Mostly Cloudy,rain,9.944444444444443,0.66,34.00320000000001,199.0,10.3523,999.94
2006-03-04 11:00:00.000 +0100,Breezy and Mostly Cloudy,rain,11.027777777777779,0.66,39.5255,212.0,11.27,999.64
2006-05-11 15:00:00.000 +0200,Breezy and Overcast,rain,13.4,0.74,31.556000000000004,0.0,6.3434,1013.65
2006-05-27 10:00:00.000 +0200,Breezy and Partly Cloudy,rain,19.92777777777778,0.63,35.9191,299.0,11.27,1016.47
2006-05-27 11:00:00.000 +0200,Breezy and Partly Cloudy,rain,21.90555555555556,0.61,36.04790000000001,308.0,11.4471,1017.06
2006-05-27 12:00:00.000 +0200,Breezy and Mostly Cloudy,rain,22.19444444444445,0.53,39.4128,309.0,11.27,1017.76
2006-05-27 13:00:00.000 +0200,Breezy and Mostly Cloudy,rain,22.19444444444445,0.55,39.4128,309.0,11.27,1018.16
2006-05-27 14:00:00.000 +0200,Breezy and Mostly Cloudy,rain,22.394444444444453,0.53,31.700900000000004,319.0,11.4471,1018.93
2006-05-27 15:00:00.000 +0200,Breezy and Mostly Cloudy,rain,22.73333333333333,0.53,28.98,318.0,11.27,1018.94
2006-05-27 16:00:00.000 +0200,Breezy and Partly Cloudy,rain,22.24444444444445,0.55,34.4057,329.0,11.2056,1019.13
2006-11-10 09:00:00.000 +0100,Breezy and Partly Cloudy,rain,8.866666666666667,0.58,33.649,308.0,11.27,1027.15
2006-11-10 10:00:00.000 +0100,Breezy and Partly Cloudy,rain,9.827777777777776,0.55,35.9191,310.0,11.4471,1027.5
2006-11-10 11:00:00.000 +0100,Breezy and Mostly Cloudy,rain,9.949999999999998,0.58,34.6311,309.0,11.27,1027.77
2006-11-10 12:00:00.000 +0100,Breezy and Mostly Cloudy,rain,9.97777777777778,0.58,33.3914,319.0,11.27,1028.05
2006-11-13 09:00:00.000 +0100,Breezy and Partly Cloudy,rain,6.133333333333333,0.76,29.543500000000005,289.0,9.982,1013.78
2006-11-13 10:00:00.000 +0100,Breezy and Partly Cloudy,rain,7.211111111111107,0.7,34.615,298.0,11.4471,1014.31
2006-11-13 11:00:00.000 +0100,Breezy and Partly Cloudy,rain,7.822222222222222,0.63,36.225,299.0,11.27,1014.46
2006-11-13 12:00:00.000 +0100,Breezy and Partly Cloudy,rain,8.883333333333336,0.63,34.775999999999996,308.0,11.27,1014.56
2006-11-02 09:00:00.000 +0100,Breezy and Partly Cloudy,rain,3.888888888888889,0.64,30.8315,308.0,10.0464,1016.56
2006-11-02 10:00:00.000 +0100,Breezy and Partly Cloudy,rain,4.9833333333333325,0.59,32.47370000000001,311.0,11.4471,1016.97
2006-11-02 11:00:00.000 +0100,Breezy and Partly Cloudy,rain,5.927777777777778,0.5,39.8314,299.0,11.27,1016.9
2006-11-02 12:00:00.000 +0100,Breezy and Partly Cloudy,rain,5.994444444444442,0.46,39.3162,299.0,11.27,1016.91
2006-11-02 13:00:00.000 +0100,Breezy and Partly Cloudy,rain,5.1055555555555525,0.44,37.3842,309.0,11.4471,1017.39
2006-11-02 14:00:00.000 +0100,Breezy and Mostly Cloudy,rain,3.866666666666666,0.48,38.0443,309.0,11.27,1017.77
2006-11-02 15:00:00.000 +0100,Breezy and Mostly Cloudy,rain,2.7999999999999994,0.56,38.0443,309.0,11.27,1018.08
2006-11-02 16:00:00.000 +0100,Breezy and Partly Cloudy,rain,2.82777777777778,0.51,34.486200000000004,319.0,11.4471,1018.38
2006-11-02 17:00:00.000 +0100,Breezy and Partly Cloudy,rain,2.7333333333333343,0.48,34.3091,318.0,11.2056,1019.01
2006-11-05 05:00:00.000 +0100,Breezy,rain,6.0888888888888895,0.76,29.0444,289.0,6.3434,1021.45
2006-11-05 09:00:00.000 +0100,Breezy and Overcast,rain,7.155555555555559,0.79,29.5918,279.0,11.27,1022.53
2006-11-05 11:00:00.000 +0100,Breezy and Overcast,rain,7.733333333333332,0.76,35.4361,279.0,11.27,1021.86
2006-11-05 13:00:00.000 +0100,Breezy and Overcast,rain,8.683333333333334,0.77,33.2626,278.0,11.0768,1021.37
2006-11-05 22:00:00.000 +0100,Breezy and Overcast,rain,7.127777777777776,0.89,30.107,258.0,14.2163,1017.38
2006-11-05 23:00:00.000 +0100,Breezy and Overcast,rain,7.288888888888887,0.88,31.53990000000001,259.0,14.9569,1016.53
2006-11-06 00:00:00.000 +0100,Breezy and Mostly Cloudy,rain,7.916666666666668,0.82,31.3789,270.0,14.9569,1016.08
2006-11-06 01:00:00.000 +0100,Breezy and Partly Cloudy,rain,8.861111111111112,0.75,29.3503,286.0,14.9569,1021.46
2006-11-06 02:00:00.000 +0100,Breezy and Mostly Cloudy,rain,8.933333333333332,0.8,31.234,289.0,15.8746,1016.61
2006-11-06 04:00:00.000 +0100,Breezy and Mostly Cloudy,rain,9.461111111111112,0.76,29.9621,289.0,15.005200000000002,1016.78
2006-11-06 05:00:00.000 +0100,Breezy and Mostly Cloudy,rain,8.883333333333336,0.83,33.9549,299.0,9.982,1016.94
